Year,Age,Area,Regions,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2013.0,age: 10-14 years old,urban,Atyrau,0.112898673440587,KAZ,,,,,,,
2013.0,age: 10-14 years old,urban,Batys Kazakhstan,0.0,KAZ,,,,,,,
2013.0,age: 10-14 years old,urban,Zhambyl,0.0,KAZ,,,,,,,
2013.0,age: 10-14 years old,urban,Karagandy,0.034676468548443,KAZ,,,,,,,
2013.0,age: 10-14 years old,urban,Kostanay,0.0950344499881207,KAZ,,,,,,,
2013.0,age: 10-14 years old,urban,Kyzylorda,0.0,KAZ,,,,,,,
2013.0,age: 10-14 years old,urban,Mangistau,0.0,KAZ,,,,,,,
2013.0,age: 10-14 years old,urban,Ontustik Kazakhstan,0.0,KAZ,,,,,,,
2013.0,age: 10-14 years old,urban,Pavlodar,0.0775674837108284,KAZ,,,,,,,
2013.0,age: 10-14 years old,urban,Soltustik Kazakhstan,0.0,KAZ,,,,,,,
2013.0,age: 10-14 years old,urban,Shygys Kazakhstan,0.0531985636387817,KAZ,,,,,,,
2013.0,age: 10-14 years old,urban,Nur-Sultan city,0.0,KAZ,,,,,,,
2013.0,age: 10-14 years old,urban,Almaty city,0.0288971406279348,KAZ,,,,,,,
2013.0,age: 10-14 years old,rural,,0.0443909476613653,KAZ,,,,,,,
2013.0,age: 10-14 years old,rural,Akmola,0.0744269127716582,KAZ,,,,,,,
2013.0,age: 10-14 years old,rural,Aktobe,0.0901713255184851,KAZ,,,,,,,
2013.0,age: 10-14 years old,rural,Almaty,0.0391171264558905,KAZ,,,,,,,
2013.0,age: 10-14 years old,rural,Atyrau,0.0,KAZ,,,,,,,
2013.0,age: 10-14 years old,rural,Batys Kazakhstan,0.0898714837781971,KAZ,,,,,,,
2013.0,age: 10-14 years old,rural,Zhambyl,0.0,KAZ,,,,,,,
2013.0,age: 10-14 years old,rural,Karagandy,0.0,KAZ,,,,,,,
2013.0,age: 10-14 years old,rural,Kostanay,0.1412130198404293,KAZ,,,,,,,
2013.0,age: 10-14 years old,rural,Kyzylorda,0.0550266879436526,KAZ,,,,,,,
